source,label,target
0,body temperature increased,44
0,emesis,64
0,emesis,65
0,body temperature increased,65
0,emesis,66
0,body temperature increased,66
0,emesis,78
0,body temperature increased,78
0,emesis,127
0,body temperature increased,127
0,emesis,137
0,Mumps,137
0,emesis,140
0,body temperature increased,140
0,emesis,149
0,Bleeding,149
0,emesis,161
0,body temperature increased,161
0,emesis,168
0,Bleeding,168
0,body temperature increased,168
0,emesis,170
0,emesis,182
0,body temperature increased,182
0,emesis,197
0,Bleeding,197
0,emesis,201
0,Bleeding,201
0,emesis,202
0,Mumps,202
0,body temperature increased,202
0,emesis,203
0,Bleeding,203
0,emesis,210
0,Bleeding,210
0,emesis,234
0,Bleeding,234
0,emesis,236
0,Bleeding,236
0,body temperature increased,236
0,emesis,239
0,Bleeding,239
0,body temperature increased,239
0,emesis,255
0,Bleeding,255
0,body temperature increased,255
0,emesis,256
0,body temperature increased,256
0,emesis,259
0,Mumps,259
0,Bleeding,259
0,emesis,263
0,Bleeding,263
0,emesis,266
0,Mumps,266
0,emesis,294
0,body temperature increased,294
0,emesis,295
0,emesis,298
0,Bleeding,298
0,emesis,316
0,body temperature increased,316
0,emesis,324
0,Bleeding,324
0,emesis,330
0,Bleeding,330
0,emesis,343
0,Bleeding,343
0,emesis,346
0,Bleeding,346
0,body temperature increased,346
0,emesis,360
0,body temperature increased,360
0,emesis,362
0,body temperature increased,362
0,emesis,365
0,emesis,370
0,Bleeding,370
0,emesis,372
0,body temperature increased,372
0,emesis,401
0,Bleeding,401
0,emesis,406
0,emesis,419
0,emesis,423
0,Bleeding,423
0,emesis,428
0,body temperature increased,428
0,emesis,431
0,Bleeding,431
0,body temperature increased,431
0,emesis,432
0,Mumps,432
0,emesis,472
0,emesis,475
0,body temperature increased,475
0,emesis,482
0,emesis,489
0,body temperature increased,489
0,emesis,491
0,emesis,496
0,emesis,537
0,body temperature increased,537
0,emesis,538
0,emesis,542
0,body temperature increased,542
0,emesis,548
0,Mumps,548
0,body temperature increased,548
0,emesis,567
0,Mumps,567
0,emesis,579
0,body temperature increased,579
0,emesis,584
0,emesis,589
0,emesis,591
0,emesis,598
0,Bleeding,598
0,emesis,599
0,body temperature increased,599
0,emesis,607
0,Bleeding,607
0,emesis,610
0,Mumps,610
0,body temperature increased,610
0,emesis,614
0,Bleeding,614
0,body temperature increased,614
0,emesis,615
0,Bleeding,615
0,body temperature increased,615
0,emesis,617
0,Bleeding,617
0,emesis,634
0,body temperature increased,634
0,emesis,637
0,Mumps,123
0,Bleeding,123
0,Mumps,158
0,Mumps,393
0,Mumps,488
0,Mumps,74
0,body temperature increased,74
0,Mumps,450
0,Mumps,627
0,body temperature increased,627
0,Mumps,643
0,body temperature increased,643
0,Bleeding,15
0,body temperature increased,15
0,Bleeding,36
0,Bleeding,50
0,Bleeding,68
0,Bleeding,113
0,Bleeding,122
0,Bleeding,156
0,body temperature increased,156
0,Bleeding,166
0,Bleeding,184
0,Bleeding,187
0,body temperature increased,187
0,Bleeding,190
0,body temperature increased,190
0,Bleeding,244
0,body temperature increased,244
0,Bleeding,270
0,Bleeding,279
0,Bleeding,290
0,Bleeding,332
0,Bleeding,389
0,body temperature increased,389
0,Bleeding,483
0,Bleeding,516
0,Bleeding,529
0,Bleeding,547
0,body temperature increased,547
0,Bleeding,18
0,body temperature increased,18
0,Bleeding,355
0,Bleeding,373
0,Bleeding,394
0,Bleeding,397
0,Bleeding,412
0,Bleeding,456
0,body temperature increased,456
0,Bleeding,506
0,Bleeding,541
0,body temperature increased,541
0,Bleeding,544
0,body temperature increased,544
0,Bleeding,551
0,Bleeding,577
0,Bleeding,601
0,body temperature increased,601
0,body temperature increased,93
0,body temperature increased,163
0,body temperature increased,165
0,body temperature increased,219
0,body temperature increased,249
0,body temperature increased,261
0,body temperature increased,276
0,body temperature increased,291
0,body temperature increased,384
0,body temperature increased,385
0,body temperature increased,420
0,body temperature increased,422
0,body temperature increased,493
0,body temperature increased,556
0,body temperature increased,51
0,body temperature increased,247
0,body temperature increased,440
0,body temperature increased,560
0,body temperature increased,597
0,body temperature increased,600
0,body temperature increased,605
0,body temperature increased,608
0,body temperature increased,630
1,coccydynia,155
1,body temperature increased,155
1,coccydynia,528
1,emesis,528
1,body temperature increased,528
1,coccydynia,202
1,emesis,4
1,emesis,8
1,emesis,22
1,body temperature increased,22
1,emesis,36
1,body temperature increased,36
1,emesis,40
1,body temperature increased,40
1,emesis,52
1,body temperature increased,52
1,emesis,85
1,emesis,89
1,body temperature increased,89
1,emesis,92
1,Bleeding,92
1,emesis,111
1,emesis,113
1,emesis,116
1,body temperature increased,116
1,emesis,121
1,emesis,123
1,body temperature increased,123
1,emesis,125
1,emesis,126
1,emesis,139
1,emesis,144
1,emesis,145
1,emesis,156
1,body temperature increased,156
1,emesis,158
1,emesis,160
1,emesis,162
1,emesis,167
1,body temperature increased,167
1,emesis,172
1,body temperature increased,172
1,emesis,177
1,Bleeding,177
1,body temperature increased,177
1,emesis,183
1,emesis,184
1,body temperature increased,184
1,emesis,187
1,emesis,190
1,body temperature increased,190
1,emesis,191
1,emesis,199
1,emesis,205
1,emesis,219
1,Bleeding,219
1,body temperature increased,219
1,emesis,237
1,emesis,244
1,emesis,246
1,emesis,248
1,emesis,249
1,Bleeding,249
1,body temperature increased,249
1,emesis,257
1,body temperature increased,257
1,emesis,262
1,Bleeding,262
1,emesis,272
1,body temperature increased,272
1,emesis,273
1,body temperature increased,273
1,emesis,279
1,Bleeding,279
1,emesis,286
1,Bleeding,286
1,body temperature increased,286
1,emesis,288
1,Bleeding,288
1,emesis,290
1,Bleeding,290
1,body temperature increased,290
1,emesis,301
1,Bleeding,301
1,body temperature increased,301
1,emesis,312
1,emesis,317
1,body temperature increased,317
1,emesis,318
1,emesis,319
1,emesis,320
1,body temperature increased,320
1,emesis,328
1,emesis,335
1,emesis,344
1,body temperature increased,344
1,emesis,347
1,body temperature increased,347
1,emesis,350
1,body temperature increased,350
1,emesis,369
1,emesis,375
1,body temperature increased,375
1,emesis,380
1,body temperature increased,380
1,emesis,384
1,body temperature increased,384
1,emesis,389
1,emesis,390
1,emesis,392
1,Bleeding,392
1,body temperature increased,392
1,emesis,395
1,body temperature increased,395
1,emesis,413
1,body temperature increased,413
1,emesis,414
1,emesis,420
1,Bleeding,420
1,emesis,421
1,emesis,429
1,body temperature increased,429
1,emesis,439
1,emesis,444
1,body temperature increased,444
1,emesis,476
1,Bleeding,476
1,emesis,490
1,Bleeding,490
1,body temperature increased,490
1,emesis,493
1,Bleeding,493
1,body temperature increased,493
1,emesis,494
1,emesis,498
1,Bleeding,498
1,emesis,500
1,body temperature increased,500
1,emesis,526
1,Bleeding,526
1,emesis,531
1,Bleeding,531
1,body temperature increased,531
1,emesis,535
1,emesis,546
1,body temperature increased,546
1,emesis,554
1,Bleeding,554
1,emesis,555
1,body temperature increased,555
1,emesis,578
1,Bleeding,578
1,emesis,609
1,Bleeding,609
1,body temperature increased,609
1,emesis,611
1,body temperature increased,611
1,emesis,612
1,emesis,628
1,body temperature increased,628
1,emesis,642
1,emesis,18
1,Bleeding,18
1,emesis,28
1,Bleeding,28
1,body temperature increased,28
1,emesis,49
1,emesis,51
1,Bleeding,51
1,body temperature increased,51
1,emesis,74
1,body temperature increased,74
1,emesis,130
1,emesis,131
1,Bleeding,131
1,body temperature increased,131
1,emesis,137
1,emesis,142
1,Bleeding,142
1,body temperature increased,142
1,emesis,150
1,Bleeding,150
1,emesis,151
1,body temperature increased,151
1,emesis,178
1,emesis,185
1,Bleeding,185
1,body temperature increased,185
1,emesis,195
1,Bleeding,195
1,emesis,203
1,emesis,234
1,body temperature increased,234
1,emesis,236
1,Bleeding,236
1,body temperature increased,236
1,emesis,239
1,Mumps,239
1,emesis,247
1,body temperature increased,247
1,emesis,254
1,Bleeding,254
1,body temperature increased,254
1,emesis,255
1,emesis,259
1,emesis,266
1,body temperature increased,266
1,emesis,300
1,Bleeding,300
1,body temperature increased,300
1,emesis,302
1,Bleeding,302
1,body temperature increased,302
1,emesis,316
1,emesis,324
1,Bleeding,324
1,body temperature increased,324
1,emesis,330
1,body temperature increased,330
1,emesis,346
1,emesis,360
1,Bleeding,360
1,emesis,362
1,emesis,364
1,emesis,365
1,body temperature increased,365
1,emesis,370
1,Bleeding,370
1,body temperature increased,370
1,emesis,373
1,emesis,419
1,body temperature increased,419
1,emesis,428
1,Bleeding,428
1,emesis,431
1,Bleeding,431
1,emesis,432
1,emesis,440
1,Bleeding,440
1,body temperature increased,440
1,emesis,441
1,Bleeding,441
1,body temperature increased,441
1,emesis,454
1,body temperature increased,454
1,emesis,472
1,emesis,479
1,Bleeding,479
1,body temperature increased,479
1,emesis,482
1,emesis,491
1,emesis,505
1,body temperature increased,505
1,emesis,538
1,Bleeding,538
1,body temperature increased,538
1,emesis,541
1,body temperature increased,541
1,emesis,544
1,Bleeding,544
1,emesis,545
1,Bleeding,545
1,emesis,551
1,Bleeding,551
1,emesis,567
1,body temperature increased,567
1,emesis,573
1,Bleeding,573
1,body temperature increased,573
1,emesis,579
1,body temperature increased,579
1,emesis,583
1,emesis,584
1,emesis,585
1,emesis,588
1,Bleeding,588
1,emesis,589
1,emesis,592
1,Bleeding,592
1,body temperature increased,592
1,emesis,601
1,emesis,603
1,body temperature increased,603
1,emesis,617
1,emesis,629
1,emesis,636
1,emesis,640
1,Bleeding,640
1,body temperature increased,640
1,Mumps,338
1,Bleeding,338
1,carbuncle,338
1,body temperature increased,338
1,Mumps,542
1,Bleeding,542
1,Bleeding,11
1,Bleeding,26
1,Bleeding,50
1,Bleeding,60
1,Bleeding,112
1,Bleeding,119
1,Bleeding,135
1,Bleeding,141
1,body temperature increased,141
1,Bleeding,186
1,body temperature increased,186
1,Bleeding,235
1,body temperature increased,235
1,Bleeding,270
1,Bleeding,271
1,Bleeding,277
1,body temperature increased,277
1,Bleeding,297
1,Bleeding,304
1,Bleeding,329
1,Bleeding,341
1,Bleeding,374
1,Bleeding,379
1,body temperature increased,379
1,Bleeding,383
1,Bleeding,393
1,body temperature increased,393
1,Bleeding,409
1,body temperature increased,409
1,Bleeding,427
1,body temperature increased,427
1,Bleeding,438
1,Bleeding,458
1,Bleeding,462
1,Bleeding,483
1,Bleeding,488
1,Bleeding,516
1,Bleeding,530
1,Bleeding,532
1,Bleeding,553
1,Bleeding,602
1,Bleeding,619
1,Bleeding,620
1,Bleeding,62
1,body temperature increased,62
1,Bleeding,73
1,Bleeding,78
1,Bleeding,127
1,Bleeding,157
1,body temperature increased,157
1,Bleeding,168
1,Bleeding,179
1,Bleeding,189
1,Bleeding,201
1,Bleeding,230
1,body temperature increased,230
1,Bleeding,353
1,Bleeding,358
1,body temperature increased,358
1,Bleeding,368
1,Bleeding,376
1,body temperature increased,376
1,Bleeding,394
1,Bleeding,397
1,Bleeding,417
1,Bleeding,450
1,Bleeding,463
1,body temperature increased,463
1,Bleeding,485
1,body temperature increased,485
1,Bleeding,558
1,body temperature increased,558
1,Bleeding,586
1,body temperature increased,586
1,Bleeding,597
1,Bleeding,613
1,Bleeding,625
1,body temperature increased,625
1,Bleeding,634
1,Bleeding,635
1,body temperature increased,635
1,Bleeding,639
1,carbuncle,163
1,body temperature increased,15
1,body temperature increased,16
1,body temperature increased,55
1,body temperature increased,104
1,body temperature increased,122
1,body temperature increased,138
1,body temperature increased,152
1,body temperature increased,180
1,body temperature increased,211
1,body temperature increased,274
1,body temperature increased,276
1,body temperature increased,281
1,body temperature increased,282
1,body temperature increased,289
1,body temperature increased,308
1,body temperature increased,310
1,body temperature increased,352
1,body temperature increased,361
1,body temperature increased,367
1,body temperature increased,398
1,body temperature increased,422
1,body temperature increased,430
1,body temperature increased,435
1,body temperature increased,497
1,body temperature increased,502
1,body temperature increased,518
1,body temperature increased,529
1,body temperature increased,539
1,body temperature increased,547
1,body temperature increased,574
1,body temperature increased,594
1,body temperature increased,604
1,body temperature increased,34
1,body temperature increased,35
1,body temperature increased,37
1,body temperature increased,71
1,body temperature increased,87
1,body temperature increased,161
1,body temperature increased,169
1,body temperature increased,181
1,body temperature increased,196
1,body temperature increased,198
1,body temperature increased,200
1,body temperature increased,210
1,body temperature increased,303
1,body temperature increased,314
1,body temperature increased,343
1,body temperature increased,345
1,body temperature increased,372
1,body temperature increased,401
1,body temperature increased,433
1,body temperature increased,449
1,body temperature increased,481
1,body temperature increased,496
1,body temperature increased,527
1,body temperature increased,543
1,body temperature increased,600
1,body temperature increased,614
1,body temperature increased,615
2,Bleeding,388
3,emesis,6
3,emesis,55
3,body temperature increased,55
3,emesis,66
3,body temperature increased,66
3,emesis,74
3,body temperature increased,74
3,emesis,124
3,carbuncle,124
3,body temperature increased,124
3,emesis,149
3,carbuncle,149
3,body temperature increased,149
3,emesis,152
3,carbuncle,152
3,body temperature increased,152
3,emesis,155
3,carbuncle,155
3,body temperature increased,155
3,emesis,156
3,emesis,172
3,emesis,190
3,carbuncle,190
3,body temperature increased,190
3,emesis,203
3,emesis,236
3,carbuncle,236
3,body temperature increased,236
3,emesis,247
3,Bleeding,247
3,carbuncle,247
3,body temperature increased,247
3,emesis,249
3,body temperature increased,249
3,emesis,255
3,body temperature increased,255
3,emesis,268
3,carbuncle,268
3,body temperature increased,268
3,emesis,288
3,carbuncle,288
3,body temperature increased,288
3,emesis,315
3,carbuncle,315
3,body temperature increased,315
3,emesis,316
3,body temperature increased,316
3,emesis,373
3,carbuncle,373
3,body temperature increased,373
3,emesis,384
3,emesis,422
3,carbuncle,422
3,body temperature increased,422
3,emesis,431
3,body temperature increased,431
3,emesis,439
3,body temperature increased,439
3,emesis,440
3,carbuncle,440
3,body temperature increased,440
3,emesis,484
3,carbuncle,484
3,body temperature increased,484
3,emesis,495
3,body temperature increased,495
3,emesis,500
3,body temperature increased,500
3,emesis,507
3,body temperature increased,507
3,emesis,537
3,body temperature increased,537
3,emesis,548
3,body temperature increased,548
3,emesis,553
3,carbuncle,553
3,body temperature increased,553
3,emesis,579
3,body temperature increased,579
3,emesis,602
3,body temperature increased,602
3,emesis,606
3,body temperature increased,606
3,emesis,614
3,body temperature increased,614
3,emesis,632
3,carbuncle,632
3,body temperature increased,632
3,emesis,634
3,body temperature increased,634
3,Bleeding,22
3,Bleeding,286
3,Bleeding,319
3,carbuncle,319
3,body temperature increased,319
3,Bleeding,324
3,body temperature increased,324
3,Bleeding,337
3,Bleeding,372
3,Bleeding,530
3,Bleeding,554
3,Bleeding,615
3,Bleeding,627
3,carbuncle,210
3,body temperature increased,210
3,carbuncle,295
3,body temperature increased,295
3,carbuncle,298
3,body temperature increased,298
3,carbuncle,497
3,body temperature increased,497
3,body temperature increased,15
3,body temperature increased,64
3,body temperature increased,79
3,body temperature increased,137
3,body temperature increased,161
3,body temperature increased,239
3,body temperature increased,274
3,body temperature increased,277
3,body temperature increased,526
3,body temperature increased,538
3,body temperature increased,544
3,body temperature increased,598
4,emesis,107
4,body temperature increased,107
4,emesis,184
4,emesis,241
4,emesis,249
4,body temperature increased,249
4,emesis,359
4,body temperature increased,359
4,emesis,399
4,emesis,495
4,body temperature increased,495
4,emesis,503
4,Bleeding,503
4,emesis,513
4,emesis,604
4,body temperature increased,604
4,emesis,5
4,emesis,18
4,Bleeding,18
4,emesis,36
4,emesis,38
4,emesis,52
4,emesis,64
4,body temperature increased,64
4,emesis,123
4,body temperature increased,123
4,emesis,124
4,Bleeding,124
4,emesis,137
4,emesis,139
4,emesis,154
4,emesis,168
4,body temperature increased,168
4,emesis,173
4,Bleeding,173
4,emesis,202
4,emesis,210
4,body temperature increased,210
4,emesis,261
4,emesis,263
4,emesis,266
4,Bleeding,266
4,emesis,270
4,body temperature increased,270
4,emesis,286
4,emesis,298
4,emesis,302
4,Bleeding,302
4,emesis,311
4,emesis,318
4,emesis,319
4,emesis,333
4,emesis,335
4,emesis,341
4,emesis,343
4,Bleeding,343
4,emesis,346
4,Bleeding,346
4,emesis,347
4,emesis,369
4,body temperature increased,369
4,emesis,370
4,Bleeding,370
4,emesis,373
4,emesis,393
4,emesis,394
4,body temperature increased,394
4,emesis,426
4,emesis,427
4,emesis,438
4,emesis,450
4,body temperature increased,450
4,emesis,472
4,emesis,475
4,body temperature increased,475
4,emesis,483
4,emesis,488
4,emesis,497
4,body temperature increased,497
4,emesis,529
4,emesis,546
4,body temperature increased,546
4,emesis,577
4,body temperature increased,577
4,emesis,579
4,emesis,584
4,emesis,596
4,emesis,610
4,emesis,613
4,body temperature increased,613
4,emesis,614
4,body temperature increased,614
4,emesis,615
4,body temperature increased,615
4,emesis,616
4,emesis,627
4,emesis,640
4,body temperature increased,640
4,emesis,643
4,body temperature increased,643
4,Bleeding,163
4,Bleeding,6
4,Bleeding,19
4,Bleeding,79
4,Bleeding,276
4,Bleeding,277
4,body temperature increased,277
4,Bleeding,324
4,Bleeding,385
4,Bleeding,401
4,Bleeding,538
4,Bleeding,544
4,body temperature increased,60
4,body temperature increased,279
4,body temperature increased,291
4,body temperature increased,578
4,body temperature increased,21
4,body temperature increased,22
4,body temperature increased,32
4,body temperature increased,74
4,body temperature increased,91
4,body temperature increased,171
4,body temperature increased,201
4,body temperature increased,236
4,body temperature increased,244
4,body temperature increased,247
4,body temperature increased,259
4,body temperature increased,274
4,body temperature increased,312
4,body temperature increased,315
4,body temperature increased,330
4,body temperature increased,338
4,body temperature increased,375
4,body temperature increased,419
4,body temperature increased,471
4,body temperature increased,542
4,body temperature increased,554
4,body temperature increased,573
4,body temperature increased,598
5,coccydynia,18
5,Bleeding,18
5,body temperature increased,18
5,coccydynia,19
5,emesis,19
5,body temperature increased,19
5,coccydynia,64
5,emesis,64
5,Mumps,64
5,body temperature increased,64
5,coccydynia,126
5,emesis,126
5,Bleeding,126
5,body temperature increased,126
5,coccydynia,168
5,emesis,168
5,Bleeding,168
5,body temperature increased,168
5,coccydynia,172
5,emesis,172
5,Bleeding,172
5,body temperature increased,172
5,coccydynia,194
5,emesis,194
5,body temperature increased,194
5,coccydynia,239
5,emesis,239
5,coccydynia,255
5,emesis,255
5,body temperature increased,255
5,coccydynia,270
5,emesis,270
5,body temperature increased,270
5,coccydynia,277
5,emesis,277
5,Mumps,277
5,body temperature increased,277
5,coccydynia,330
5,emesis,330
5,Bleeding,330
5,body temperature increased,330
5,coccydynia,338
5,emesis,338
5,Mumps,338
5,body temperature increased,338
5,coccydynia,341
5,emesis,341
5,body temperature increased,341
5,coccydynia,343
5,emesis,343
5,coccydynia,347
5,body temperature increased,347
5,coccydynia,399
5,Mumps,399
5,coccydynia,450
5,emesis,450
5,Mumps,450
5,body temperature increased,450
5,coccydynia,471
5,emesis,471
5,Bleeding,471
5,body temperature increased,471
5,coccydynia,472
5,emesis,472
5,Mumps,472
5,coccydynia,475
5,emesis,475
5,body temperature increased,475
5,coccydynia,488
5,Mumps,488
5,body temperature increased,488
5,coccydynia,506
5,emesis,506
5,body temperature increased,506
5,coccydynia,546
5,emesis,546
5,coccydynia,548
5,Mumps,548
5,Bleeding,548
5,coccydynia,551
5,emesis,551
5,Bleeding,551
5,body temperature increased,551
5,coccydynia,554
5,emesis,554
5,body temperature increased,554
5,coccydynia,567
5,Mumps,567
5,coccydynia,577
5,emesis,577
5,Bleeding,577
5,body temperature increased,577
5,coccydynia,610
5,emesis,610
5,Mumps,610
5,coccydynia,298
5,emesis,298
5,coccydynia,321
5,emesis,321
5,emesis,11
5,body temperature increased,11
5,emesis,13
5,emesis,15
5,body temperature increased,15
5,emesis,21
5,Mumps,21
5,body temperature increased,21
5,emesis,22
5,emesis,27
5,body temperature increased,27
5,emesis,29
5,body temperature increased,29
5,emesis,35
5,Bleeding,35
5,emesis,36
5,body temperature increased,36
5,emesis,37
5,Bleeding,37
5,emesis,38
5,body temperature increased,38
5,emesis,49
5,body temperature increased,49
5,emesis,50
5,Bleeding,50
5,body temperature increased,50
5,emesis,52
5,Mumps,52
5,body temperature increased,52
5,emesis,55
5,emesis,57
5,body temperature increased,57
5,emesis,59
5,emesis,66
5,emesis,68
5,Bleeding,68
5,body temperature increased,68
5,emesis,73
5,Bleeding,73
5,emesis,74
5,Mumps,74
5,emesis,77
5,Bleeding,77
5,emesis,78
5,Bleeding,78
5,body temperature increased,78
5,emesis,79
5,body temperature increased,79
5,emesis,81
5,emesis,82
5,body temperature increased,82
5,emesis,90
5,body temperature increased,90
5,emesis,92
5,Bleeding,92
5,body temperature increased,92
5,emesis,93
5,body temperature increased,93
5,emesis,103
5,emesis,108
5,Bleeding,108
5,body temperature increased,108
5,emesis,111
5,emesis,113
5,emesis,115
5,body temperature increased,115
5,emesis,116
5,Bleeding,116
5,emesis,123
5,Mumps,123
5,emesis,125
5,body temperature increased,125
5,emesis,127
5,Bleeding,127
5,body temperature increased,127
5,emesis,128
5,body temperature increased,128
5,emesis,129
5,emesis,130
5,body temperature increased,130
5,emesis,132
5,body temperature increased,132
5,emesis,139
5,body temperature increased,139
5,emesis,141
5,body temperature increased,141
5,emesis,149
5,body temperature increased,149
5,emesis,151
5,Bleeding,151
5,body temperature increased,151
5,emesis,152
5,Bleeding,152
5,body temperature increased,152
5,emesis,153
5,emesis,155
5,Mumps,155
5,body temperature increased,155
5,emesis,156
5,body temperature increased,156
5,emesis,158
5,Mumps,158
5,emesis,162
5,body temperature increased,162
5,emesis,163
5,body temperature increased,163
5,emesis,165
5,emesis,166
5,emesis,171
5,body temperature increased,171
5,emesis,174
5,emesis,179
5,body temperature increased,179
5,emesis,180
5,body temperature increased,180
5,emesis,182
5,Bleeding,182
5,body temperature increased,182
5,emesis,184
5,Bleeding,184
5,body temperature increased,184
5,emesis,187
5,body temperature increased,187
5,emesis,190
5,Bleeding,190
5,body temperature increased,190
5,emesis,191
5,Bleeding,191
5,body temperature increased,191
5,emesis,197
5,emesis,202
5,Mumps,202
5,Bleeding,202
5,body temperature increased,202
5,emesis,208
5,Bleeding,208
5,emesis,210
5,Bleeding,210
5,body temperature increased,210
5,emesis,219
5,Bleeding,219
5,emesis,220
5,emesis,230
5,body temperature increased,230
5,emesis,234
5,Bleeding,234
5,body temperature increased,234
5,emesis,235
5,emesis,236
5,emesis,237
5,emesis,247
5,emesis,250
5,body temperature increased,250
5,emesis,256
5,Bleeding,256
5,body temperature increased,256
5,emesis,257
5,body temperature increased,257
5,emesis,261
5,Bleeding,261
5,emesis,263
5,body temperature increased,263
5,emesis,264
5,body temperature increased,264
5,emesis,272
5,Bleeding,272
5,emesis,274
5,Mumps,274
5,emesis,283
5,emesis,286
5,Bleeding,286
5,body temperature increased,286
5,emesis,288
5,Bleeding,288
5,body temperature increased,288
5,emesis,289
5,emesis,290
5,Bleeding,290
5,body temperature increased,290
5,emesis,291
5,Bleeding,291
5,body temperature increased,291
5,emesis,294
5,emesis,295
5,body temperature increased,295
5,emesis,297
5,Bleeding,297
5,body temperature increased,297
5,emesis,302
5,Bleeding,302
5,emesis,304
5,emesis,310
5,body temperature increased,310
5,emesis,313
5,emesis,317
5,Bleeding,317
5,emesis,318
5,emesis,319
5,Bleeding,319
5,body temperature increased,319
5,emesis,324
5,Bleeding,324
5,body temperature increased,324
5,emesis,326
5,emesis,328
5,emesis,329
5,body temperature increased,329
5,emesis,332
5,body temperature increased,332
5,emesis,333
5,Bleeding,333
5,body temperature increased,333
5,emesis,334
5,body temperature increased,334
5,emesis,336
5,emesis,340
5,body temperature increased,340
5,emesis,351
5,Bleeding,351
5,emesis,356
5,emesis,360
5,body temperature increased,360
5,emesis,362
5,body temperature increased,362
5,emesis,363
5,emesis,368
5,emesis,369
5,body temperature increased,369
5,emesis,370
5,Bleeding,370
5,body temperature increased,370
5,emesis,372
5,Bleeding,372
5,body temperature increased,372
5,emesis,373
5,emesis,374
5,Bleeding,374
5,body temperature increased,374
5,emesis,375
5,emesis,378
5,emesis,381
5,body temperature increased,381
5,emesis,383
5,Bleeding,383
5,body temperature increased,383
5,emesis,384
5,Bleeding,384
5,body temperature increased,384
5,emesis,385
5,body temperature increased,385
5,emesis,389
5,body temperature increased,389
5,emesis,390
5,emesis,392
5,Bleeding,392
5,body temperature increased,392
5,emesis,393
5,Mumps,393
5,emesis,397
5,body temperature increased,397
5,emesis,400
5,body temperature increased,400
5,emesis,401
5,body temperature increased,401
5,emesis,403
5,Bleeding,403
5,emesis,411
5,emesis,419
5,emesis,421
5,emesis,423
5,Bleeding,423
5,emesis,426
5,Bleeding,426
5,body temperature increased,426
5,emesis,427
5,Bleeding,427
5,body temperature increased,427
5,emesis,428
5,Bleeding,428
5,body temperature increased,428
5,emesis,435
5,emesis,436
5,Bleeding,436
5,body temperature increased,436
5,emesis,437
5,Bleeding,437
5,emesis,438
5,body temperature increased,438
5,emesis,440
5,Bleeding,440
5,emesis,441
5,body temperature increased,441
5,emesis,444
5,body temperature increased,444
5,emesis,445
5,Bleeding,445
5,emesis,449
5,body temperature increased,449
5,emesis,455
5,emesis,456
5,body temperature increased,456
5,emesis,459
5,body temperature increased,459
5,emesis,465
5,body temperature increased,465
5,emesis,466
5,Bleeding,466
5,body temperature increased,466
5,emesis,467
5,Bleeding,467
5,emesis,468
5,Bleeding,468
5,body temperature increased,468
5,emesis,476
5,Bleeding,476
5,body temperature increased,476
5,emesis,477
5,Bleeding,477
5,body temperature increased,477
5,emesis,481
5,Bleeding,481
5,body temperature increased,481
5,emesis,482
5,body temperature increased,482
5,emesis,483
5,Bleeding,483
5,emesis,485
5,body temperature increased,485
5,emesis,495
5,Mumps,495
5,Bleeding,495
5,body temperature increased,495
5,emesis,498
